name,description,class,shortname,datatype,units,High Normal,Low Normal,Allow Decimal,locale,synonym.1,answer.1,answer.2,answer.3,answer.4,answer.5,answer.6,answer.7,answer.8,answer.9,answer.10,answer.11,answer.12,answer.13,answer.14,answer.15,answer.16,answer.17,reference-term-source,reference-term-code,reference-term-relationship
ACS_Bleeding_From_Cervix,,Misc,Bleeding from cervix,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,
ACS_P_S_Prolapse,,Misc,Prolapse,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,
MTP_P_S,,Misc,P/S examination,Coded,,,,,,,ACS_P_S_cervicitis,Vaginitis,ACS_Discharge_curdy,ACS_Discharge_greenish,ACS_Foul_Smelling,ACS_Tenderness_p_v,ACS_Bleeding_From_Cervix,ACS_P_S_Prolapse,ACS_Others_Other,,,,,,,,,,,
MTP_Gestation_Examination,,Misc,P/v examination,Numeric,,,,yes,,,,,,,,,,,,,,,,,,,,,,
MTP_Eligible_MTP,,Misc,Eligible for MTP?,Boolean,,,,,,,,,,,,,,,,,,,,,,,,,,
MTP_Consent,,Misc,Consent given?,Boolean,,,,,,,,,,,,,,,,,,,,,,,,,,
MTP_Serious_Risk,,Misc,Serious risk to health or life ,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,
MTP_Rape,,Misc,Rape,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,
MTP_Contraceptive_Failure,,Misc,Contraceptive failure,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,
MTP_Life_Saving,,Misc,Life-Saving,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,
MTP_Others,,Misc,Others,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,
MTP_Reason_For_Prgncy,,Misc,Reason for which pregnancy is terminated,coded,,,,,,,MTP_Serious_Risk,MTP_Rape,MTP_Contraceptive_Failure,MTP_Life_Saving,MTP_Others,,,,,,,,,,,,,,,
MTP_Medication,,Misc,Provided Medical Abortion?,Boolean,,,,,,,,,,,,,,,,,,,,,,,,,,
MTP_Complications,,Misc,Any Immediate Complications?,Boolean,,,,,,,,,,,,,,,,,,,,,,,,,,
Fees_Amount,,Misc,Amount Received,Numeric,rupees,,,yes,,,,,,,,,,,,,,,,,,,,,,
Fees_Purpose_OPD,,Misc,OPD,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,
Fees_Purpose_IPD,,Misc,IPD,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,
Fees_Purpose_Lab_Test,,Misc,Lab Test,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,
Fees_Purpose_Delivery,,Misc,Delivery,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,
Fees_Purpose_Other,,Misc,Other,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,
Fees_Purpose,,Misc,Purpose,Coded,,,,,,,Fees_Purpose_OPD,Fees_Purpose_IPD,Fees_Purpose_Lab_Test,Fees_Purpose_Delivery,Fees_Purpose_Other,,,,,,,,,,,,,,,
Fees-Amount_Waivered,,Misc,Amount Waivered,Numeric,rupees,,,yes,,,,,,,,,,,,,,,,,,,,,,
MTP_FollowUpDate,,Misc,Follow-up Date,Date,,,,,,,,,,,,,,,,,,,,,,,,,,
GLOBAL_Doctors_Name_1,,Misc,Dr. Sanjana,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,
GLOBAL_Doctors_Name_2,,Misc,Dr. Pavitra,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,
GLOBAL_Doctors_Name_3,,Misc,Dr. Pukhraj,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,
GLOBAL_Doctors_Name_4,,Misc,Dr. Anurag,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,
GLOBAL_Doctors_Name_5,,Misc,Dr. Rohit,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,
GLOBAL_Doctors_Name,,Misc,Doctor's Name,Coded,,,,,,,GLOBAL_Doctors_Name_1,GLOBAL_Doctors_Name_2,GLOBAL_Doctors_Name_3,GLOBAL_Doctors_Name_4,GLOBAL_Doctors_Name_5,,,,,,,,,,,,,,,
GLOBAL_Nurse_Name1,,Misc,Nurse's Name 1,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,
GLOBAL_Nurse_Name2,,Misc,Nurse's Name 2,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,
GLOBAL_Nurse_Name,,Misc,Nurse's Name,Coded,,,,,,,GLOBAL_Nurse_Name1,GLOBAL_Nurse_Name2,,,,,,,,,,,,,,,,,,
