name,description,class,shortname,datatype,units,High Normal,Low Normal,Allow Decimal,locale,synonym.1,answer.1,answer.2,answer.3,answer.4,answer.5,answer.6,answer.7,answer.8,answer.9,answer.10,answer.11,answer.12,answer.13,answer.14,answer.15,answer.16,answer.17,answer.18,answer.19,answer.20,answer.21,answer.22,answer.23,answer.24,answer.25,answer.26,answer.27,answer.28,answer.29,answer.30,answer.31,answer.32,answer.33,answer.34,answer.35,answer.36,reference-term-source,reference-term-code,reference-term-relationship
2MT5Y_Vomits_Everything,,Misc,????? ???? ?? ???? ??,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2MT5Y_Do_Dorre,,Misc,???? ???? ??,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2MT5Y_Danger_Common_Symptoms,,Misc,???? ?? ?? ????? ??? ?,Coded,,,,,,,2MT5Y_Slow_Unconscious,2MT5Y_Wont_Drink,2MT5Y_Wont_Breast_Feed,2MT5Y_Vomits_Everything,2MT5Y_Do_Dorre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2MT5Y_Difficulty_Coughing_Breathing,,Misc,???? ???? ?? ????? ?? ???? ???? ??? ?????? ???,Coded,,,,,,,Ans_option_yes_hindi,Ans_option_no_hindi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2MT5Y_Fast_Breath,,Misc,??? ????,Coded,,,,,,,Ans_option_yes_hindi,Ans_option_no_hindi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2MT5Y_Ribs_Fall,,Misc,???? ?? ??????? ?????,Coded,,,,,,,Ans_option_yes_hindi,Ans_option_no_hindi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2MT5Y_Severe_Pneumonia,,Misc,????? ????????,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2MT5Y_Pneumonia,,Misc,????????,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2MT5Y_Cough,,Misc,?????,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2MT5Y_Cold,,Misc,?????�,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2MT5Y_Pneumonia_Classification,,Misc,????????�,Coded,,,,,,,2MT5Y_Severe_Pneumonia,2MT5Y_Pneumonia,2MT5Y_Cough,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2MT5Y_Does_Child _Have_Diarrhea,,Misc,???? ???? ?? ???? ???,Coded,,,,,,,Ans_option_yes_hindi,Ans_option_no_hindi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2MT5Y_How_Many_Days,,Misc,????? ????? ?? ?,Numeric,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2MT5Y_D_How_Many_Days,,Misc,????? ????? ?? ?,Numeric,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2MT5Y_Blood_In_Stool,,Misc,???? ?? ??? ??? ??? ???,Coded,,,,,,,Ans_option_yes_hindi,Ans_option_no_hindi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2MT5Y_Slow_Unconscious,,Misc,????? ?? ?????,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2MT5Y_Restless_Irritable,,Misc,????? ? ?????????,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2MT5Y_Blazon_Eyes,,Misc,???? ??? ?????,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2MT5Y_Drinking_Prob,,Misc,?? ???? ???? ?? ?? ?? ???? ??,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2MT5Y_Thirsty_Drink,,Misc,???? ?? ?????? ??????,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2MT5Y_Skin_Soft,,Misc,????? ????,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2MT5Y_Skin_Soft_fast,,Misc,????? ???? ???? ???? ??,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2MT5Y_Dehydration_Symptoms,,Misc,?????????? ?? ??? ??????,Coded,,,,,,,2MT5Y_Slow_Unconscious,2MT5Y_Restless_Irritable,2MT5Y_Drinking_Prob,2MT5Y_Thirsty_Drink,2MT5Y_Skin_Soft,2MT5Y_Skin_Soft_fast,2MT5Y_Blazon_Eyes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2MT5Y_No_Dehydration,,Misc,?????????? ???? ??,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2MT5Y_Severe_Dehydration,,Misc,????? ??????????,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2MT5Y_Some_Dehydration,,Misc,??? ??????????,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2MT5Y_Persistent_Diarrhea,,Misc,?????? ???? ???,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2MT5Y_Bloody_Diarrhea,,Misc,???? ???? (?????????),N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2MT5Y_Diarrhea_Classification,,Misc,????????�,Coded,,,,,,,2MT5Y_Severe_Dehydration,2MT5Y_Some_Dehydration,2MT5Y_Persistent_Diarrhea,2MT5Y_Bloody_Diarrhea,2MT5Y_No_Dehydration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2MT5Y_Does_Baby_Have_Fever,,Misc,???? ???? ?? ????? ???,Coded,,,,,,,Ans_option_yes_hindi,Ans_option_no_hindi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2MT5Y_From_How_many_Days,,Misc,"??? ???, �?? ????? ????? ?? ?",Numeric,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2MT5Y_Neck_Pain,,Misc,????? ??? ??????,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2MT5Y_Fever_More_Than_7_Days,,Misc,7 ??? ?? ???? ??? ?? ?????,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2MT5Y_Daily_Fever,,Misc,????? ?????? ??? ??,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2MT5Y_Any_Of_These_Symptoms,,Misc,???? ???? ?? ??????? ??? ????? ???,Coded,,,,,,,2MT5Y_Neck_Pain,2MT5Y_Fever_More_Than_7_Days,2MT5Y_Daily_Fever,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2MT5Y_Negative,,Misc,Negative,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2MT5Y_PV,,Misc,PV,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2MT5Y_PF,,Misc,PF,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2MT5Y_Mixed,,Misc,Mixed,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2MT5Y_RDK,,Misc,RDK,Coded,,,,,,,2MT5Y_Negative,2MT5Y_PV,2MT5Y_PF,2MT5Y_Mixed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2MT5Y_Severe_Fever,,Misc,????? ?????,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2MT5Y_Malaria,,Misc,???????,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2MT5Y_Other_Fever,,Misc,???? ?????�,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2MT5Y_Fever_Classification,,Misc,????????�,Coded,,,,,,,2MT5Y_Severe_Fever,2MT5Y_Malaria,2MT5Y_Other_Fever,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2MT5Y_Severe_Dryness,,Misc,????? ??????,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2MT5Y_Some_Dryness,,Misc,??? ??????,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2MT5Y_No_Dryness,,Misc,??? ??????,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2MT5Y_Dryness_On_Hands,,Misc,????? ?? ?????? ?? ?????�,Coded,,,,,,,2MT5Y_Severe_Dryness,2MT5Y_Some_Dryness,2MT5Y_No_Dryness,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2MT5Y_Hemoglobin,,Misc,???????????�,Numeric,gm/dl,14,11,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2MT5Y_Hemoglobin_Abnormal,,Abnormal,Abnormal,Boolean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2MT5Y_Severe_Anemia,,Misc,????? ???????,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2MT5Y_Anemia,,Misc,???????,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2MT5Y_No_Anemia,,Misc,??????? ???? ??,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2MT5Y_Anemia_Classification,,Misc,????????�,Coded,,,,,,,2MT5Y_Severe_Anemia,2MT5Y_Anemia,2MT5Y_No_Anemia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2MT5Y_Feed_Problem,,Misc,?????? ?????? ??????,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2MT5Y_No_Feed_Problem,,Misc,?????? ?????? ?????? ???? ??,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2MT5Y_Feed_Estimation,,Misc,???? ?? ???? ????,Coded,,,,,,,2MT5Y_Feed_Problem,2MT5Y_No_Feed_Problem,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2MT5Y_Does_Child_Have_Severe_Malnutrition,,Misc,???? ????? ??? ????? ?????? ???? ??? ???,Coded,,,,,,,Ans_option_yes_hindi,Ans_option_no_hindi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2MT5Y_Treatment_Of_Severe_Malnutrition,,Misc,???? ????? ????? ?????? ?? ???? ?? ???,Coded,,,,,,,Ans_option_yes_hindi,Ans_option_no_hindi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2MT5Y_TB_History,,Misc,History of contact with TB in family,Boolean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2MT5Y_Celebral_Palsy,,Misc,Celebral Palsy,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2MT5Y_Delayed_Milestones,,Misc,Delayed milestones,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2MT5Y_Heart_Disease,,Misc,Congenital heart disease,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2MT5Y_Malformation,,Misc,Congenital malformation,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2MT5Y_Other,,Misc,Other,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2MT5Y_Any_Disease_Condition,,Misc,Any chronic disease/ condition,Coded,,,,,,,2MT5Y_Celebral_Palsy,2MT5Y_Delayed_Milestones,2MT5Y_Heart_Disease,2MT5Y_Malformation,2MT5Y_Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2MT5Y_If_Other_Specify,,Misc,"If other, specify",Text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2MT5Y_Is_SAM_complications,,Misc,Is SAM with complications,Boolean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2MT5Y_Mantoux_Test,,Misc,Mantoux test,Numeric,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2MT5Y_Poor,,Misc,Poor,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2MT5Y_Not_Poor,,Misc,Not Poor,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2MT5Y_Appetite_Test,,Misc,Appetite test,Coded,,,,,,,2MT5Y_Poor,2MT5Y_Not_Poor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2MT5Y_Peanut_Allergy,,Misc,Peanut allergy,Boolean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2MT5Y_Number_Of_RUTF_Packets,,Misc,Number of RUTF packets consumed,Numeric,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2MT5Y_Child_Recovery_From_SAM,,Misc,Has the child recovered from SAM?,Boolean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2M_any_other_Problem,,Misc,???? ??????,Text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Septicaemia,,Misc,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Severe pneumonia,,Misc,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pneumonia,,Misc,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No pneumonia cough and cold,,Misc,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Diarrhea with severe dehydration,,Misc,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Diarrhea with some dehydration,,Misc,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Diarrhea with no dehydration,,Misc,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Persistent diarrhea,,Misc,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dysentery,,Misc,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SAM,,Misc,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Severe undernutrition,,Misc,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Undernutrition,,Misc,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Severe anemia diagnosis,,Misc,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anemia diagnosis,,Misc,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Confirmed TB,,Misc,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suspected TB,,Misc,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TB Prophylaxis,,Misc,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Severe Measles,,Misc,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Measles,,Misc,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Malaria falciparum,,Misc,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Malaria Vivax,,Misc,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Malaria -mixed,,Misc,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clinical Malaria,,Misc,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acute ear infection,,Misc,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chronic Ear Infection,,Misc,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Skin Disease-Impetigo,,Misc,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Skin Disease-Fungal,,Misc,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Skin Disease-Scabies,,Misc,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Skin disease-dermatitis,,Misc,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Skin Disease-Other,,Misc,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Injury with stitches,,Misc,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Injury without stiches,,Misc,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2MT5Y_Diagnosis,,Misc,??????????,Coded,,,,,,,,Septicaemia,Severe pneumonia,Pneumonia,No pneumonia cough and cold,Diarrhea with severe dehydration,Diarrhea with some dehydration,Diarrhea with no dehydration,Persistent diarrhea,Dysentery,SAM,Severe undernutrition,Undernutrition,Severe anemia diagnosis,Anemia diagnosis,Confirmed TB,Suspected TB,TB Prophylaxis,Severe Measles,Measles,Malaria falciparum,Malaria Vivax,Malaria -mixed,Clinical Malaria,Acute ear infection,Chronic Ear Infection,Skin Disease-Impetigo,Skin Disease-Fungal,Skin Disease-Scabies,Skin disease-dermatitis,Skin Disease-Other,Injury with stitches,Injury without stiches,,,,,,
2MT5Y_Danger_Symptoms,,Misc,???? ?? ?????,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2MT5Y_Immunization,,Misc,???????,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2MT5Y_Nautorial_Counseling,,Misc,????????? ?????????,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2MT5Y_Contraceptive_Advice_To_Mother,,Misc,??? ?? ?????????? ?????? ?? ????,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2MT5Y_Advice,,Misc,????�,Coded,,,,,,,2MT5Y_Danger_Symptoms,2MT5Y_Immunization,2MT5Y_Nautorial_Counseling,2MT5Y_Contraceptive_Advice_To_Mother,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GLOBAL_Doctors_Name_1,,Misc,Dr. Sanjana,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GLOBAL_Doctors_Name_2,,Misc,Dr. Pavitra,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GLOBAL_Doctors_Name_3,,Misc,Dr. Pukhraj,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GLOBAL_Doctors_Name_4,,Misc,Dr. Anurag,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GLOBAL_Doctors_Name_5,,Misc,Dr. Rohit,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GLOBAL_Hindi_Name_of_Doctor,,Misc,डॉक्टर नाम,Coded,,,,,,,GLOBAL_Doctors_Name_1,GLOBAL_Doctors_Name_2,GLOBAL_Doctors_Name_3,GLOBAL_Doctors_Name_4,GLOBAL_Doctors_Name_5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GLOBAL_Nurse/SHW_name1,,Misc,Nurse / SHW Name 1,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GLOBAL_Nurse/SHW_name2,,Misc,Nurse / SHW Name 2,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GLOBAL_Name_of_nurse_or_SHW_hindi,,Misc,नर्स या SHW का नाम,Coded,,,,,,,GLOBAL_Nurse/SHW_name1,GLOBAL_Nurse/SHW_name2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GLOBAL_Follow up after,,Misc,दोबारा दिखानेकी तारीख,Date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
