FULLY_SPECIFIED,SHORT
2MT5Y_How_Many_Days,कितने दिनों से ?
2MT5Y_D_How_Many_Days,कितने दिनों से ?
2MT5Y_Blood_In_Stool,क्या मल में खून आता है?
2MT5Y_Slow_Unconscious,सुस्त या बेहोश
2MT5Y_Restless_Irritable,बेचैन व चिड़चिड़ा
2MT5Y_Blazon_Eyes,धंसी हुई आँखें
2MT5Y_Drinking_Prob,पी नहीं सकता या कम पी सकता है
2MT5Y_Thirsty_Drink,पीने को उतावला प्यासा
2MT5Y_Skin_Soft,त्वचा धीरे जाती है
2MT5Y_Skin_Soft_fast,त्वचा बहुत धीरे जाती है
2MT5Y_Dehydration_Symptoms,निर्जलीकरण के कोई लक्षण?
2MT5Y_No_Dehydration,निर्जलीकरण नहीं है
2MT5Y_Severe_Dehydration,गंभीर निर्जलीकरण
2MT5Y_Some_Dehydration,कुछ निर्जलीकरण
2MT5Y_Persistent_Diarrhea,लगातार दस्त रोग
2MT5Y_Bloody_Diarrhea,खूनी दस्त (डीसेंट्री)
2MT5Y_Diarrhea_Classification,वर्गीकरण
2MT5Y_Does_Baby_Have_Fever,क्या शिशु को बुखार है?
2MT5Y_From_How_many_Days,"यदि हाँ, तो कितने दिनों से ?"
2MT5Y_Neck_Pain,गर्दन में अखड़ाहट
2MT5Y_Fever_More_Than_7_Days,7 दिन से अधिक समय से बुखार
2MT5Y_Daily_Fever,बुखार रोजाना आता है
2MT5Y_Any_Of_These_Symptoms,क्या शिशु को इन्मेसे कोई लक्षण है?
2MT5Y_Negative,Negative
2MT5Y_PV,PV
2MT5Y_PF,PF
2MT5Y_Mixed,Mixed
2MT5Y_RDK,RDK
2MT5Y_Severe_Fever,गंभीर बुखार
2MT5Y_Malaria,मलेरिया
2MT5Y_Other_Fever,अन्य बुखार
2MT5Y_Fever_Classification,वर्गीकरण
2MT5Y_Some_Dryness,कुछ फीकापन
2MT5Y_No_Dryness,फीकापन नहीं
2MT5Y_Dryness_On_Hands,हथेली के फीकापन को देखें
2MT5Y_Hemoglobin,हीमोग्लोबिन
2MT5Y_Hemoglobin_Abnormal,Abnormal
2MT5Y_Severe_Anemia,गंभीर एनीमिया
2MT5Y_Anemia,एनीमिया
2MT5Y_No_Anemia,एनीमिया नहीं है
2MT5Y_Anemia_Classification,वर्गीकरण
2MT5Y_Feed_Problem,खानपान संबंधी समस्या
2MT5Y_No_Feed_Problem,खानपान संबंधी समस्या नहीं है
2MT5Y_Feed_Estimation,खाने का आकलन करें
2MT5Y_Does_Child_Have_Severe_Malnutrition,क्या बच्चे में गंभीर कुपोषण पाया गया है?
2MT5Y_Treatment_Of_Severe_Malnutrition,क्या बच्चा गंभीर कुपोषण के इलाज पर है?
2MT5Y_TB_History,History of contact with TB in family
2MT5Y_Celebral_Palsy,Celebral Palsy
2MT5Y_Delayed_Milestones,Delayed milestones
2MT5Y_Heart_Disease,Congenital heart disease
2MT5Y_Malformation,Congenital malformation
2MT5Y_Other,Other
2MT5Y_Any_Disease_Condition,Any chronic disease/ condition
2MT5Y_If_Other_Specify,"If other, specify"
2MT5Y_Poor,Poor
2MT5Y_Not_Poor,Not Poor
2MT5Y_Appetite_Test,Appetite test
2MT5Y_Peanut_Allergy,Peanut allergy
2MT5Y_Number_Of_RUTF_Packets,Number of RUTF packets consumed
2MT5Y_Child_Recovery_From_SAM,Has the child recovered from SAM?
2MT5Y_Danger_Symptoms,खतरे के लक्षण
2MT5Y_Immunization,टीकाकरण
2MT5Y_Nautorial_Counseling,नुट्रीशनल काउंसलिंग
2MT5Y_Contraceptive_Advice_To_Mother,माँ को गर्भनिरोधक साधनों की सलाह
2M_any_other_Problem,अन्य समस्या
2MT5Y_Advice,सलाह
2MT5Y_Diagnosis,डायग्नोसिस
