uuid,name,description,class,shortname,datatype,units,High Normal,Low Normal,Allow Decimal,locale,synonym.1,answer.1,answer.2,answer.3,answer.4,answer.5,answer.6,answer.7,answer.8,answer.9,answer.10,answer.11,answer.12,answer.13,answer.14,answer.15,answer.16,answer.17,answer.18,answer.19,answer.20,reference-term-source,reference-term-code,reference-term-relationship
23ab4a9e-6e04-49f8-8f64-251b41776191,Del_LB_Weight_IUGR,,Misc,IUGR,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2aaeeb5f-9996-4007-a712-144e0bcdae68,Del_LowBirth_Weight,,Misc,Type of low birth weight,Coded,,,,,,,Del_LB_Weight_Prematurity,Del_LB_Weight_IUGR,,,,,,,,,,,,,,,,,,,,,
727fda30-3420-4f72-a2e0-c72a5bbb00dc,Del_ANY_Newborn_Compli,,Misc,Any newborn complications,Boolean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b29761b2-1e3b-4961-884d-791e0ad69cac,Del_Newborn_compli_Birth_Asphyxia,,Misc,Birth Asphyxia,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5640dff7-64cf-4cd1-9c26-6e5275a0b517,Congenital Disease,,Misc,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1e272149-4e15-11e4-8a57-0800271c1b75,Convulsions,,Misc,Convulsions,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
041daad2-198b-4223-aa46-6b23e85776a9,Death,,Misc,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
f20b15b2-4e14-11e4-8a57-0800271c1b75,Jaundice,,Misc,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cf385fa5-778b-46d7-9a2c-d48443c1d3e8,Low birth weight,,Misc,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8ebc8a5b-86e7-47dd-b226-80d661b0c78a,Septicaemia,,Misc,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a5daddbe-acba-4d46-9125-dd8afd55de67,Del_Newborn_complication,,Misc,Newborn Complication,Coded,,,,,,,Del_Newborn_compli_Birth_Asphyxia,Congenital Disease,Convulsions,Death,Jaundice,Low birth weight,Septicaemia,,,,,,,,,,,,,,,,
7fcdd1f5-78a4-488a-9e7b-37601d463ffb,Del_Date_and_Time_of_discharge,,Misc,Date and Time of discharge,Datetime,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72ccc6c7-25b6-4965-afe9-bc283d3b4f51,GLOBAL_Patient_Referred,,Misc,Patient referred,Boolean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a63f131b-14b6-480e-bfdd-86ac9cbca0db,GLOBAL_Patient_Admitted,,Misc,Patient admitted,Boolean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3ec1dfbe-a27b-4bce-8371-4fdb1432be36,Receipt_number,,Misc,Receipt number,Numeric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
f863db5d-dedc-424f-b9c7-3a074207465b,Fees_Amount,,Misc,Amount Received,Numeric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
682d6982-12a5-4370-8483-b553faed0164,GLOBAL_Doctors_Name_2,,Misc,Dr. Pavitra,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
465b3fa2-d971-4e88-ac0a-c9309507cb40,GLOBAL_Doctors_Name_1,,Misc,Dr. Sanjana,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44fa55b8-11f2-48f0-81e9-e31c9b500df9,GLOBAL_Doctors_Name_5,,Misc,Dr. Gargi,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3eaa50af-83f8-47e8-bb14-8c85897af739,GLOBAL_Doctors_Name_12,,Test,Dr. Vivek,Numeric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b190ba66-02b6-4eb3-a3b0-5e331914776c,GLOBAL_Doctors_Name,,Misc,Doctor's Name,Coded,,,,,,,GLOBAL_Doctors_Name_2,GLOBAL_Doctors_Name_1,GLOBAL_Doctors_Name_5,,,,,,,,,,,,,,,,,,,,
202bc2aa-31b2-43c4-a549-b9c3cabf48c1,GLOBAL_Nurse_Name2,,Misc,Ramila Meena,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83815654-6ce5-4675-b271-875fc6c32843,GLOBAL_Nurse_Name3,,Misc,Radha Dindor,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
230e40ec-8dcf-4bbe-af3c-1210e7a1d0c2,GLOBAL_Nurse_Name6,,Misc,Deepika Dindor,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
f742b04f-d769-4e39-bf96-ae85d78479d2,GLOBAL_Nurse_Name7,,Misc,Urmila Kalasua,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5e85b164-d855-4ee0-a369-d9262cf4cf58,GLOBAL_Nurse_Name8,,Misc,Harshita Jain,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aeebee00-47c3-4c13-b305-884f9dae7f9a,GLOBAL_Nurse_Name11,,Misc,Rekha Kharadi,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2c812d1c-4ecd-407a-91fa-49979e45f237,GLOBAL_Nurse_Name12,,Misc,Rejina Meena,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09afc3f5-6d13-49c3-8a59-7f61af194fd7,GLOBAL_Nurse_Name15,,Misc,Devika Damor,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a6502133-1a36-4bca-adbe-34ff8007e580,GLOBAL_Nurse_Name17,,Misc,Meera Damor,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2a50395b-db84-4c15-91ff-c532d6b8517e,GLOBAL_Nurse_Name18,,Misc,Sarita Maida,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aa2036ff-8053-4e57-86d0-b7905020fa1a,GLOBAL_Nurse_Name24,,Misc,Sunita Jat,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
f611a618-c8dc-4ba9-a553-b8a2c19197a4,GLOBAL_Nurse_Name28,,Misc,Rekha Kasota,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5f8bb1c2-0ac9-4511-a105-54891d929e8e,GLOBAL_Nurse_Name29,,Misc,Veena Roat,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3f5b94d3-8d56-4569-b7ba-8f7db8a54c1d,GLOBAL_Nurse_Name31,,Misc,Susheela Vadera,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
915da82d-ea20-412e-978a-2c9738ce2059,GLOBAL_Nurse_Name32,,Misc,Sonia Pandwala,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71cadac5-d67a-4acb-b298-6a059f524611,GLOBAL_Nurse_Name33,,Misc,Pushpa Rawat,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
045f15c0-8a7c-4727-85b1-7da04f6a46be,GLOBAL_Nurse_Name34,,Misc,Durga Meena,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7f7f8b1c-57ec-48d1-b3df-bf9f7e1e4f43,GLOBAL_Nurse_Name35,,Misc,Ganga Parmar,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3d437873-d901-4bd9-928b-28aea2e5f228,GLOBAL_Nurse_Name36,,Misc,Tulsi Dindor,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33d71e16-7d7e-4384-8902-2140aaebfbc2,GLOBAL_Nurse_Name,,Misc,Nurse's Name,Coded,,,,,,,GLOBAL_Nurse_Name2,GLOBAL_Nurse_Name3,GLOBAL_Nurse_Name6,GLOBAL_Nurse_Name7,GLOBAL_Nurse_Name8,GLOBAL_Nurse_Name11,GLOBAL_Nurse_Name12,GLOBAL_Nurse_Name15,GLOBAL_Nurse_Name17,GLOBAL_Nurse_Name18,GLOBAL_Nurse_Name24,GLOBAL_Nurse_Name28,GLOBAL_Nurse_Name29,GLOBAL_Nurse_Name31,GLOBAL_Nurse_Name32,GLOBAL_Nurse_Name33,GLOBAL_Nurse_Name34,GLOBAL_Nurse_Name35,GLOBAL_Nurse_Name36,,,,
