"uuid","name","description","class","shortname","datatype","units","High Normal","Low Normal","Allow Decimal","locale","synonym.1","answer.1","answer.2","answer.3","answer.4","answer.5","reference-term-source","reference-term-code","reference-term-relationship"
"1c5a5e73-574f-4284-9697-13a91603256c","See the child's general condition",,"Misc","????? ?? ??????? ?????? ????? :","Coded",,,,,,"","Dull","2M_Unconscious","Restless","Irritable","",,,
"7ec4a362-b18f-4b22-906c-acf42153a779","Ans_option_yes_hindi",,"Misc","???","N/A",,,,,,"","","","","","",,,
"345f8588-9a0e-474a-bdf4-9230a66b71c9","Ans_option_no_hindi",,"Misc","????","N/A",,,,,,"","","","","","",,,
"a4f46f30-86c9-4b45-8afc-733611b05cad","For the blinking eyes see",,"Misc","???? ???  ????? ?? ??? ????? :","Coded",,,,,,"","Ans_option_yes_hindi","Ans_option_no_hindi","","","",,,
"7ec4a362-b18f-4b22-906c-acf42153a779","Ans_option_yes_hindi",,"Misc","???","N/A",,,,,,"","","","","","",,,
"345f8588-9a0e-474a-bdf4-9230a66b71c9","Ans_option_no_hindi",,"Misc","????","N/A",,,,,,"","","","","","",,,
"7fc3e787-7eaa-4456-8bca-fa7da9a03eb7","Does the stool have blood",,"Misc","???? ?? ??? ??? ??? ?? ?","Coded",,,,,,"","Ans_option_yes_hindi","Ans_option_no_hindi","","","",,,
"3e99d6ce-0755-43cb-97f6-d16779b3ce0e","2M_can't drink",,"Misc","?? ??? ????","N/A",,,,,,"","","","","","",,,
"1a568d5f-75f6-4a6c-b0bf-de5d806c109c","2M_drink less",,"Misc","?? ???? ??","N/A",,,,,,"","","","","","",,,
"fa58b28b-076f-4afe-867d-6064a6790fcc","2M_Thirsty",,"Misc","???? ?? ?????? , ?????? ??","N/A",,,,,,"","","","","","",,,
"c2d0e851-3374-4f62-ad09-f35f6615ef9e","Normally",,"Misc","???????","N/A",,,,,,"","","","","","",,,
"a8f2a96a-84d4-43fe-b473-69f75389340d","Give Something To Drink",,"Question","????? ?? ??? ???? ?? ???","Coded",,,,,,"","2M_can't drink","2M_drink less","2M_Thirsty","Normally","",,,
"f9d20550-5cb1-4f69-8878-48498e26d098","Very slowly (more than 2 seconds)",,"Misc","???? ???? (? ?????? ?? ????)","N/A",,,,,,"","","","","","",,,
"1116eb39-d37e-40f9-bc9f-cd770fd046e6","Slow",,"Misc","????","N/A",,,,,,"","","","","","",,,
"c2d0e851-3374-4f62-ad09-f35f6615ef9e","Normally",,"Misc","???????","N/A",,,,,,"","","","","","",,,
"3184cd1f-6808-445f-a2d7-694c546c2992","Pinch on the stomach patch, does it go back",,"Misc","??? ?? ?????? ?? ?????? ???? , ???? ?? ???? ???? ?? :","Coded",,,,,,"","Very slowly (more than 2 seconds)","Slow","Normally","","",,,
"d351d41d-1ab2-45a0-89d6-dc3a349d0d82","2M_Severe Dehydration",,"Misc","????? ??????????","N/A",,,,,,"","","","","","",,,
"d1e313c0-4fe6-497e-b395-3e0bc6794c90","2M_Some Dehydration",,"Misc","??? ??????????","N/A",,,,,,"","","","","","",,,
"3337b36e-6ec6-4899-acbc-f00e24483f80","2M_No Dehydration",,"Misc","?????????? ???? ??","N/A",,,,,,"","","","","","",,,
"41f0b4c2-9897-456c-b8f2-42bf32a8f8ea","Dehydration classification",,"Misc","?????????? ????????","Coded",,,,,,"","2M_Severe Dehydration","2M_Some Dehydration","2M_No Dehydration","","",,,
"697ff677-e3c2-4290-ae47-a35f4cc98719","Continuous Diarrhea",,"Misc","?????? ???? ???","N/A",,,,,,"","","","","","",,,
"a7aa44c0-e9e5-468f-b32e-9c662b66e427","Blood Diarrhea",,"Misc","??? ???? (??????????)","N/A",,,,,,"","","","","","",,,
"389163c7-9a03-427b-932b-b07e42878b43","Diarrhea Classification",,"Misc","???? ????????","Coded",,,,,,"","Continuous Diarrhea","Blood Diarrhea","","","",,,
"7ec4a362-b18f-4b22-906c-acf42153a779","Ans_option_yes_hindi",,"Misc","???","N/A",,,,,,"","","","","","",,,
"345f8588-9a0e-474a-bdf4-9230a66b71c9","Ans_option_no_hindi",,"Misc","????","N/A",,,,,,"","","","","","",,,
"762fdc43-7e9e-440a-a22f-8d67cab8c781","Does the child have fever",,"Misc","???? ????? ?? ????? ?? (?????? / ?? ?? / ?? ?????? 37.5 ?????? ?? ????) ?","Coded",,,,,,"","Ans_option_yes_hindi","Ans_option_no_hindi","","","",,,
"35052ad8-f24e-423d-8065-b8a6626720dc","From how many days",,"Misc","????? ??? ??","Numeric",,,,,,"","","","","","",,,
"7ec4a362-b18f-4b22-906c-acf42153a779","Ans_option_yes_hindi",,"Misc","???","N/A",,,,,,"","","","","","",,,
"345f8588-9a0e-474a-bdf4-9230a66b71c9","Ans_option_no_hindi",,"Misc","????","N/A",,,,,,"","","","","","",,,
"b8b70b13-fcfc-4b4e-8910-52de1f80c9fa","Look for scraps in the neck or feel it",,"Misc","????? ??? ?????? ?? ???? ????? ?? ????? ???","Coded",,,,,,"","Ans_option_yes_hindi","Ans_option_no_hindi","","","",,,
"7ec4a362-b18f-4b22-906c-acf42153a779","Ans_option_yes_hindi",,"Misc","???","N/A",,,,,,"","","","","","",,,
"345f8588-9a0e-474a-bdf4-9230a66b71c9","Ans_option_no_hindi",,"Misc","????","N/A",,,,,,"","","","","","",,,
"1c3b1ab5-15c1-486e-978e-d3509c083c5a","If there is a fever for more than 7 days, then what fever comes daily",,"Misc","??? 7 ??? ?? ???? ??? ?? ????? ??, ?? ???? ????? ?????? ??? ??","Coded",,,,,,"","Ans_option_yes_hindi","Ans_option_no_hindi","","","",,,
"84e6287f-6224-4614-810f-57f2fbe0f105","Severe fever",,"Misc","????? ?????","N/A",,,,,,"","","","","","",,,
"18f56d3a-727c-4244-ae4a-96f282fcdb00","Malaria 1",,"Misc","???????","N/A",,,,,,"","","","","","",,,
"2c8085d5-5c48-40b2-bd77-856f0d9372ff","Other fever",,"Misc","???? ?????","N/A",,,,,,"","","","","","",,,
"c17e3d98-73af-4d0b-a668-8c175ff27320","Fever classification",,"Misc","????? ????????","Coded",,,,,,"","Severe fever","Malaria 1","Other fever","","",,,
"7ec4a362-b18f-4b22-906c-acf42153a779","Ans_option_yes_hindi",,"Misc","???","N/A",,,,,,"","","","","","",,,
"345f8588-9a0e-474a-bdf4-9230a66b71c9","Ans_option_no_hindi",,"Misc","????","N/A",,,,,,"","","","","","",,,
"6ed123b1-7c7c-4c2e-b32f-0909ae93485a","Serious Malnutrition  ( WHZ <- 3 SD )",,"Misc","????? ?????? ( WHZ <- 3 SD )","Coded",,,,,,"","Ans_option_yes_hindi","Ans_option_no_hindi","","","",,,
"7ec4a362-b18f-4b22-906c-acf42153a779","Ans_option_yes_hindi",,"Misc","???","N/A",,,,,,"","","","","","",,,
"345f8588-9a0e-474a-bdf4-9230a66b71c9","Ans_option_no_hindi",,"Misc","????","N/A",,,,,,"","","","","","",,,
"a463c310-650a-4d62-ad9c-206048009a6b","See severe dryness that appears",,"Misc","????? ???? ????? ?????? ?????","Coded",,,,,,"","Ans_option_yes_hindi","Ans_option_no_hindi","","","",,,
"7ec4a362-b18f-4b22-906c-acf42153a779","Ans_option_yes_hindi",,"Misc","???","N/A",,,,,,"","","","","","",,,
"345f8588-9a0e-474a-bdf4-9230a66b71c9","Ans_option_no_hindi",,"Misc","????","N/A",,,,,,"","","","","","",,,
"58b263e8-3d10-476d-94a9-a19246470963","See the swelling in both legs",,"Misc","????? ????? ??? ???? ?????","Coded",,,,,,"","Ans_option_yes_hindi","Ans_option_no_hindi","","","",,,
"1e311fc3-8864-4c63-885f-07993a76d426","Serious Malnutrition",,"Misc","????? ??????","N/A",,,,,,"","","","","","",,,
"96d66988-a50d-420d-94da-87b3026144e6","Over Malnutrition",,"Misc","??? ??????","N/A",,,,,,"","","","","","",,,
"16d687d3-3581-4565-b55a-60c370b09733","Malnutrition",,"Misc","??????","N/A",,,,,,"","","","","","",,,
"136463b5-31fa-4b2b-8d44-36e2f53557f5","Do Not Have Malnutrition",,"Misc","?????? ???? ??","N/A",,,,,,"","","","","","",,,
"5f409125-5ce0-4254-9a17-342ebda967c9","Malnutrition Classification",,"Misc","?????? ????????","Coded",,,,,,"","Serious Malnutrition","Over Malnutrition","Malnutrition","Do Not Have Malnutrition","",,,
"8cabbf3c-62e1-4ae2-96b2-f183dfe4de52","Severe fade",,"Misc","????? ??????","N/A",,,,,,"","","","","","",,,
"5e5055a8-a790-42e1-b13a-2c2d48d7ee98","Some fade",,"Misc","??? ??????","N/A",,,,,,"","","","","","",,,
"94b59c85-73cc-4b45-95cc-a93072c01283","No Fade",,"Misc","?????? ????","N/A",,,,,,"","","","","","",,,
"7b201fec-6cdc-4ead-9bfe-c32be2de45f8","See fade of the palm",,"Misc","????? ?? ?????? ?? ?????","Coded",,,,,,"","Severe fade","Some fade","No Fade","","",,,
"f53770f2-3291-487f-9072-0e8b836a50cd","Severe anemia",,"Misc","????? ???????","N/A",,,,,,"","","","","","",,,
"a48427fd-0374-420f-a114-5f5d8a45d1a3","Anemia",,"Misc","???????","N/A",,,,,,"","","","","","",,,
"410a8732-5558-48e0-bad5-07e9f7f41a06","No Anemia",,"Misc","??????? ???? ??","N/A",,,,,,"","","","","","",,,
"013c5277-cbf3-4831-b59b-c09d45e056cc","Anemia Classification",,"Misc","??????? ????????","Coded",,,,,,"","Severe anemia","Anemia","No Anemia","","",,,
"7ec4a362-b18f-4b22-906c-acf42153a779","Ans_option_yes_hindi",,"Misc","???","N/A",,,,,,"","","","","","",,,
"345f8588-9a0e-474a-bdf4-9230a66b71c9","Ans_option_no_hindi",,"Misc","????","N/A",,,,,,"","","","","","",,,
"7166a4b8-6833-417f-8fa8-64cd5a6993c3","Do you breast feed your baby",,"Misc","???? ?? ???? ????? ?? ??????? ????? ??? ?","Coded",,,,,,"","Ans_option_yes_hindi","Ans_option_no_hindi","","","",,,
"ff2c71a2-a94e-4ce1-8634-c77eb9787cd3","2M_If yes How many times in 24 hours",,"Misc","??? ??? ?? 24 ????? ??? ????? ??? ?","Numeric",,,,,,"","","","","","",,,
"7ec4a362-b18f-4b22-906c-acf42153a779","Ans_option_yes_hindi",,"Misc","???","N/A",,,,,,"","","","","","",,,
"345f8588-9a0e-474a-bdf4-9230a66b71c9","Ans_option_no_hindi",,"Misc","????","N/A",,,,,,"","","","","","",,,
"7e3be60b-f3f0-4dd8-a0d6-67ae031d6104","2M_Do u brestFeed baby at night",,"Misc","???? ?? ??? ??? ?? ??????? ????? ?? ?","Coded",,,,,,"","Ans_option_yes_hindi","Ans_option_no_hindi","","","",,,
"7ec4a362-b18f-4b22-906c-acf42153a779","Ans_option_yes_hindi",,"Misc","???","N/A",,,,,,"","","","","","",,,
"345f8588-9a0e-474a-bdf4-9230a66b71c9","Ans_option_no_hindi",,"Misc","????","N/A",,,,,,"","","","","","",,,
"a7e9a082-4887-4024-aa24-7920fcc70366","2M_Do you feed oily food to baby",,"Misc","???? ????? ?? ???? ???? ?? ??? ?????? ???? ???? ?? ?","Coded",,,,,,"","Ans_option_yes_hindi","Ans_option_no_hindi","","","",,,
"304e1e3e-6f84-4903-99db-67cd1ee942e2","IF Yes Then What",,"Misc","??? ??? ?? ???? ?","Text",,,,,,"","","","","","",,,
"15555a61-4c77-428a-9cdf-6fefffc27b52","2M_How many Times in a day",,"Misc","??? ??? ????? ??? ?","Numeric",,,,,,"","","","","","",,,
"17181fe1-a3f9-46dd-ace0-978f7ffb728f","2M_What is used for Feeding",,"Misc","????? ?? ?????? ?????? ??? ??? ?? ?????? ???? ?? ?","Text",,,,,,"","","","","","",,,
"b22a2307-69d7-4f85-8648-102ab4037cc2","Quantity Of Feeding",,"Misc","???? ?? ?????? ????? ???? ?? ?","Text",,,,,,"","","","","","",,,
"7ec4a362-b18f-4b22-906c-acf42153a779","Ans_option_yes_hindi",,"Misc","???","N/A",,,,,,"","","","","","",,,
"345f8588-9a0e-474a-bdf4-9230a66b71c9","Ans_option_no_hindi",,"Misc","????","N/A",,,,,,"","","","","","",,,
"ab4f81d9-2fc7-41db-a679-42780e267abe","2m_Does baby gets seprate food",,"Misc","???? ????? ?? ??? ?? ???? ????? ?? ?","Coded",,,,,,"","Ans_option_yes_hindi","Ans_option_no_hindi","","","",,,
"f734a6a2-48e3-4268-a5f2-7b555044bb1a","2m_Who Feeds baby",,"Misc","????? ?? ??? ?????? / ?????? ?? ??? ???? ?","Text",,,,,,"","","","","","",,,
"7ec4a362-b18f-4b22-906c-acf42153a779","Ans_option_yes_hindi",,"Misc","???","N/A",,,,,,"","","","","","",,,
"345f8588-9a0e-474a-bdf4-9230a66b71c9","Ans_option_no_hindi",,"Misc","????","N/A",,,,,,"","","","","","",,,
"caeb22e4-6ab1-4eaa-843d-f88714e5fca0","2M_Does this effect on babys diet",,"Misc","???? ?? ?????? ??? ????? ?? ??? / ??? ??? ??? ?? ?","Coded",,,,,,"","Ans_option_yes_hindi","Ans_option_no_hindi","","","",,,
"f475dda1-a1d5-4627-9ece-2b306d48ce21","2M_If Yes then how",,"Misc","??? ??? ?? ???? ?","Text",,,,,,"","","","","","",,,
"84d8a3c8-5e36-4b3e-9bcd-76b9a30e3b19","2M_Estimate Other things",,"Misc","???? ???????? ?? ????? ???? :","Text",,,,,,"","","","","","",,,
"b8caec16-97c1-4ee3-bf1f-778bffaec1a3","2MInfant_Follow up after",,"Misc","?????? ???????? ?????","Date",,,,,,"","","","","","",,,
"8c253eb1-cecb-4a42-b762-6821f87934ef","2M_Advice Mother for later checkup",,"Misc","??? ?? ????? ??? ?? ????? ?? ?????? ??? ?????","Text",,,,,,"","","","","","",,,
"53fbda98-287d-4f5b-b069-52391d9f0aca","??? ?? ????? ?? ????????? ??? ?????? ?????? ?? ??? ??????? ??",,"Misc",,"Text",,,,,,"","","","","","",,,
