FULLY_SPECIFIED,SHORT
PNC_C_Ask Mother - do you have any problems related to the newborn,माँ से पूछें- क्या आपको नवजात सम्बन्धी कोई परेशानी है?
PNC_C_Birth_Weight,वजन (कि. ग्रा.)
GLOBAL_breathingRate,सांस प्रति मिनिट
Ans_option_yes_hindi,हाँ
Ans_option_no_hindi,नहीं
GLOBAL_See ribs,पसली का अत्यधिक धंसना ?
Ans_option_yes_hindi,हाँ
Ans_option_no_hindi,नहीं
GLOBAL_Groan,कराहना
Ans_option_yes_hindi,हाँ
Ans_option_no_hindi,नहीं
PNC_C_Navel is red or brittle,नाभि लाल या पीप है
Ans_option_yes_hindi,हाँ
Ans_option_no_hindi,नहीं
PNC_C_Rubbish-pimple On Body,बदन पर फोड़ी/फुंसी है?
GLOBAL_Ans_option_good,अच्छा
GLOBAL_Ans_option_Not_At_ALL,बिलकुल नहीं
Ans_option_Not_good,अच्छा नहीं
PNC_C_How is the childs attachment to the breast,बच्चे का स्तन से लगाव कैसा है?
GLOBAL_Ans_option_Not_At_ALL,बिलकुल नहीं
PNC_C_Not_Effective_Way,प्रभावी ढंग से नहीं
PNC_C_Effective_Way,प्रभावी ढंग से
PNC_C_Is the mother breastfeeding effectively,क्या माँ प्रभावी ढंग से स्तनपान करा रही है?
Ans_option_yes_hindi,हाँ
Ans_option_no_hindi,नहीं
PNC_C_Provides only breastfeeding or other diet,सिर्फ स्तनपान या ऊपरी आहार भी देते है?
Ans_option_yes_hindi,हाँ
Ans_option_no_hindi,नहीं
PNC_C_Back abscess,पीठ में फोड़ा
Ans_option_yes_hindi,हाँ
Ans_option_no_hindi,नहीं
PNC_C_Lipped lips or palate,फटा हुआ होंठ या तालू
Ans_option_yes_hindi,हाँ
Ans_option_no_hindi,नहीं
PNC_C_Breast Feeding,स्तनपान
Ans_option_yes_hindi,हाँ
Ans_option_no_hindi,नहीं
PNC_C_Immunization,टीकाकरण
Ans_option_yes_hindi,हाँ
Ans_option_no_hindi,नहीं
PNC_C_Keep the baby warm,बच्चे को गर्म रखें
Ans_option_yes_hindi,हाँ
Ans_option_no_hindi,नहीं
PNC_C_Child Cleanliness & Care,बच्चे की साफ़ सफाई एवं देखबाल
Ans_option_yes_hindi,हाँ
Ans_option_no_hindi,नहीं
PNC_C_Danger signs,खतरे के लक्षण
Ans_option_yes_hindi,हाँ
Ans_option_no_hindi,नहीं
PNC_C_Is need to sent to hospital,क्या अस्पताल भेजने की जरुरत है?
GLOBAL_Follow up after,दोबारा दिखानेकी तारीख
GLOBAL_Doctors_Name_1,Dr. Sanjana
GLOBAL_Doctors_Name_2,Dr. Pavitra
GLOBAL_Doctors_Name_3,Dr. Pukhraj
GLOBAL_Doctors_Name_4,Dr. Anurag
GLOBAL_Doctors_Name_5,Dr. Rohit
GLOBAL_Hindi_Name_of_Doctor,डॉक्टर नाम
GLOBAL_Nurse/SHW_name1,Nurse / SHW Name 1
GLOBAL_Nurse/SHW_name2,Nurse / SHW Name 2
GLOBAL_Name_of_nurse_or_SHW_hindi,नर्स या SHW का नाम
