name,description,class,shortname,datatype,units,High Normal,Low Normal,Allow Decimal,locale,synonym.1,answer.1,answer.2,answer.3,answer.4,answer.5,answer.6,answer.7,reference-term-source,reference-term-code,reference-term-relationship
Ans_option_no_hindi,,Misc,नहीं,N/A,,,,,,,,,,,,,,,,
Consultation_Hindi_Self_care,,Misc,"स्वयं की देखबाल, भोजन, आराम",Coded,,,,,,,Ans_option_yes_hindi,Ans_option_no_hindi,,,,,,,,
Ans_option_yes_hindi,,Misc,हाँ,N/A,,,,,,,,,,,,,,,,
Ans_option_no_hindi,,Misc,नहीं,N/A,,,,,,,,,,,,,,,,
Consultation_Hindi_family_planning,,Misc,परिवार नियाजन,Coded,,,,,,,Ans_option_yes_hindi,Ans_option_no_hindi,,,,,,,,
Ans_option_yes_hindi,,Misc,हाँ,N/A,,,,,,,,,,,,,,,,
Ans_option_no_hindi,,Misc,नहीं,N/A,,,,,,,,,,,,,,,,
PNC_C_kangaroo mother care,,Misc,कंगारू मदर केयर की सलाह,Coded,,,,,,,Ans_option_yes_hindi,Ans_option_no_hindi,,,,,,,,
Ans_option_yes_hindi,,Misc,हाँ,N/A,,,,,,,,,,,,,,,,
Ans_option_no_hindi,,Misc,नहीं,N/A,,,,,,,,,,,,,,,,
PNC_C_Is need to sent to hospital,,Misc,क्या अस्पताल भेजने की जरुरत है?,Coded,,,,,,,Ans_option_yes_hindi,Ans_option_no_hindi,,,,,,,,
PNC_C_Infant_name,,Misc,बच्चे का नाम,Text,,,,,,,,,,,,,,,,
PNC_C_Infant_Boy,,Misc,लड़का,N/A,,,,,,,,,,,,,,,,
PNC_C_Infant_Girl,,Misc,लड़की,N/A,,,,,,,,,,,,,,,,
PNC_C_Infant_Gender,,Misc,लिंग,Coded,,,,,,,PNC_C_Infant_Boy,PNC_C_Infant_Girl,,,,,,,,
Ans_option_yes_hindi,,Misc,हाँ,N/A,,,,,,,,,,,,,,,,
Ans_option_no_hindi,,Misc,नहीं,N/A,,,,,,,,,,,,,,,,
PNC_C_Ask Mother - do you have any problems related to the newborn,,Misc,माँ से पूछें- क्या आपको नवजात सम्बन्धी कोई परेशानी है?,Coded,,,,,,,Ans_option_yes_hindi,Ans_option_no_hindi,,,,,,,,
PNC_C_Birth_Weight,,Misc,वजन (कि. ग्रा.),Numeric,,,,,,,,,,,,,,,,
PNC_C_Birth_Weight_Abnormal,,Abnormal,Abnormal,Boolean,,,,,,,,,,,,,,,,
GLOBAL_breathingRate,,Misc,सांस प्रति मिनिट,Numeric,,,,,,,,,,,,,,,,
Ans_option_yes_hindi,,Misc,हाँ,N/A,,,,,,,,,,,,,,,,
Ans_option_no_hindi,,Misc,नहीं,N/A,,,,,,,,,,,,,,,,
GLOBAL_See ribs,,Misc,पसली का अत्यधिक धंसना ?,Coded,,,,,,,Ans_option_yes_hindi,Ans_option_no_hindi,,,,,,,,
Ans_option_yes_hindi,,Misc,हाँ,N/A,,,,,,,,,,,,,,,,
Ans_option_no_hindi,,Misc,नहीं,N/A,,,,,,,,,,,,,,,,
GLOBAL_Groan,,Misc,कराहना,Coded,,,,,,,Ans_option_yes_hindi,Ans_option_no_hindi,,,,,,,,
Ans_option_yes_hindi,,Misc,हाँ,N/A,,,,,,,,,,,,,,,,
Ans_option_no_hindi,,Misc,नहीं,N/A,,,,,,,,,,,,,,,,
PNC_C_Navel is red or brittle,,Misc,नाभि लाल या पीप है,Coded,,,,,,,Ans_option_yes_hindi,Ans_option_no_hindi,,,,,,,,
Ans_option_yes_hindi,,Misc,हाँ,N/A,,,,,,,,,,,,,,,,
Ans_option_no_hindi,,Misc,नहीं,N/A,,,,,,,,,,,,,,,,
PNC_C_Rubbish-pimple On Body,,Misc,बदन पर फोड़ी/फुंसी है?,Coded,,,,,,,Ans_option_yes_hindi,Ans_option_no_hindi,,,,,,,,
GLOBAL_Ans_option_good,,Misc,अच्छा,N/A,,,,,,,,,,,,,,,,
GLOBAL_Ans_option_Not_At_ALL,,Misc,बिलकुल नहीं,N/A,,,,,,,,,,,,,,,,
Ans_option_Not_good,,Misc,अच्छा नहीं,N/A,,,,,,,,,,,,,,,,
PNC_C_How is the childs attachment to the breast,,Misc,बच्चे का स्तन से लगाव कैसा है?,Coded,,,,,,,GLOBAL_Ans_option_good,GLOBAL_Ans_option_Not_At_ALL,Ans_option_Not_good,,,,,,,
GLOBAL_Ans_option_Not_At_ALL,,Misc,बिलकुल नहीं,N/A,,,,,,,,,,,,,,,,
PNC_C_Not_Effective_Way,,Misc,प्रभावी ढंग से नहीं,N/A,,,,,,,,,,,,,,,,
PNC_C_Effective_Way,,Misc,प्रभावी ढंग से,N/A,,,,,,,,,,,,,,,,
PNC_C_Is the mother breastfeeding effectively,,Misc,क्या माँ प्रभावी ढंग से स्तनपान करा रही है?,Coded,,,,,,,GLOBAL_Ans_option_Not_At_ALL,PNC_C_Not_Effective_Way,PNC_C_Effective_Way,,,,,,,
Ans_option_yes_hindi,,Misc,हाँ,N/A,,,,,,,,,,,,,,,,
Ans_option_no_hindi,,Misc,नहीं,N/A,,,,,,,,,,,,,,,,
PNC_C_Provides only breastfeeding or other diet,,Misc,सिर्फ स्तनपान या ऊपरी आहार भी देते है?,Coded,,,,,,,Ans_option_yes_hindi,Ans_option_no_hindi,,,,,,,,
Ans_option_yes_hindi,,Misc,हाँ,N/A,,,,,,,,,,,,,,,,
Ans_option_no_hindi,,Misc,नहीं,N/A,,,,,,,,,,,,,,,,
PNC_C_Back abscess,,Misc,पीट में फोड़ा,Coded,,,,,,,Ans_option_yes_hindi,Ans_option_no_hindi,,,,,,,,
Ans_option_yes_hindi,,Misc,हाँ,N/A,,,,,,,,,,,,,,,,
Ans_option_no_hindi,,Misc,नहीं,N/A,,,,,,,,,,,,,,,,
PNC_C_Lipped lips or palate,,Misc,फटा हुआ होंठ या तालू,Coded,,,,,,,Ans_option_yes_hindi,Ans_option_no_hindi,,,,,,,,
Ans_option_yes_hindi,,Misc,हाँ,N/A,,,,,,,,,,,,,,,,
Ans_option_no_hindi,,Misc,नहीं,N/A,,,,,,,,,,,,,,,,
PNC_C_Breast Feeding,,Misc,स्तनपान,Coded,,,,,,,Ans_option_yes_hindi,Ans_option_no_hindi,,,,,,,,
Ans_option_yes_hindi,,Misc,हाँ,N/A,,,,,,,,,,,,,,,,
Ans_option_no_hindi,,Misc,नहीं,N/A,,,,,,,,,,,,,,,,
PNC_C_Immunization,,Misc,टीकाकरण,Coded,,,,,,,Ans_option_yes_hindi,Ans_option_no_hindi,,,,,,,,
Ans_option_yes_hindi,,Misc,हाँ,N/A,,,,,,,,,,,,,,,,
Ans_option_no_hindi,,Misc,नहीं,N/A,,,,,,,,,,,,,,,,
PNC_C_Keep the baby warm,,Misc,बच्चे को गर्म रखें,Coded,,,,,,,Ans_option_yes_hindi,Ans_option_no_hindi,,,,,,,,
Ans_option_yes_hindi,,Misc,हाँ,N/A,,,,,,,,,,,,,,,,
Ans_option_no_hindi,,Misc,नहीं,N/A,,,,,,,,,,,,,,,,
PNC_C_Child Cleanliness & Care,,Misc,बच्चे की साफ़ सफाई एवं देखबाल,Coded,,,,,,,Ans_option_yes_hindi,Ans_option_no_hindi,,,,,,,,
Ans_option_yes_hindi,,Misc,हाँ,N/A,,,,,,,,,,,,,,,,
Ans_option_no_hindi,,Misc,नहीं,N/A,,,,,,,,,,,,,,,,
PNC_C_Danger signs,,Misc,खतरे के लक्षण,Coded,,,,,,,Ans_option_yes_hindi,Ans_option_no_hindi,,,,,,,,
Ans_option_yes_hindi,,Misc,हाँ,N/A,,,,,,,,,,,,,,,,
Ans_option_no_hindi,,Misc,नहीं,N/A,,,,,,,,,,,,,,,,
PNC_C_Is need to sent to hospital,,Misc,क्या अस्पताल भेजने की जरुरत है?,Coded,,,,,,,Ans_option_yes_hindi,Ans_option_no_hindi,,,,,,,,
GLOBAL_Follow up after,,Misc,दोबारा दिखानेकी तारीख,Date,,,,,,,,,,,,,,,,
GLOBAL_Doctors_Name_1,,Misc,Dr. Sanjana,N/A,,,,,,,,,,,,,,,,
GLOBAL_Doctors_Name_2,,Misc,Dr. Pavitra,N/A,,,,,,,,,,,,,,,,
GLOBAL_Doctors_Name_3,,Misc,Dr. Pukhraj,N/A,,,,,,,,,,,,,,,,
GLOBAL_Doctors_Name_4,,Misc,Dr. Anurag,N/A,,,,,,,,,,,,,,,,
GLOBAL_Doctors_Name_5,,Misc,Dr. Rohit,N/A,,,,,,,,,,,,,,,,
GLOBAL_Hindi_Name_of_Doctor,,Misc,डॉक्टर नाम,Coded,,,,,,,GLOBAL_Doctors_Name_1,GLOBAL_Doctors_Name_2,GLOBAL_Doctors_Name_3,GLOBAL_Doctors_Name_4,GLOBAL_Doctors_Name_5,,,,,
GLOBAL_Nurse/SHW_name1,,Misc,Nurse / SHW Name 1,N/A,,,,,,,,,,,,,,,,
GLOBAL_Nurse/SHW_name2,,Misc,Nurse / SHW Name 2,N/A,,,,,,,,,,,,,,,,
GLOBAL_Name_of_nurse_or_SHW_hindi,,Misc,नर्स या SHW का नाम,Coded,,,,,,,GLOBAL_Nurse/SHW_name1,GLOBAL_Nurse/SHW_name2,,,,,,,,
