name,description,class,shortname,datatype,units,High Normal,Low Normal,Allow Decimal,locale,synonym.1,answer.1,answer.2,answer.3,answer.4,reference-term-source,reference-term-code,reference-term-relationship
Ans_option_only breastfeeding,,Misc,खाली स्तनपान,N/A,,,,,,,,,,,,,
Ans_option_other,,Misc,ऊपरी आहार,N/A,,,,,,,,,,,,,
PNC_C_Provides only breastfeeding or other diet,,Misc,सिर्फ स्तनपान या ऊपरी आहार भी देते हैं,Coded,,,,,,,Ans_option_only breastfeeding,Ans_option_other,,,,,
PNC_C_Back abscess,,Misc,पीठ में फोड़ा,Coded,,,,,,,Ans_option_yes_hindi,Ans_option_no_hindi,,,,,
PNC_C_Lipped_Option1,,Misc,फटा हुआ होंठ,N/A,,,,,,,,,,,,,
PNC_C_Lipped_Option2,,Misc,फटा हुआ तालू,N/A,,,,,,,,,,,,,
PNC_C_Lipped lips or palate,,Misc,फटा हुआ होंठ या तालू,Coded,,,,,,,PNC_C_Lipped_Option1,PNC_C_Lipped_Option2,,,,,
PNC_C_kangaroo mother care,,Misc,कंगारू मदर केयर,Coded,,,,,,,Ans_option_yes_hindi,Ans_option_no_hindi,,,,,
PNC_C_Breast Feeding,,Misc,स्तनपान,Coded,,,,,,,Ans_option_yes_hindi,Ans_option_no_hindi,,,,,
PNC_C_Immunization,,Misc,टीकाकरण,Coded,,,,,,,Ans_option_yes_hindi,Ans_option_no_hindi,,,,,
PNC_C_Keep the baby warm,,Misc,बच्चे को गर्म रखें,Coded,,,,,,,Ans_option_yes_hindi,Ans_option_no_hindi,,,,,
PNC_C_Danger signs,,Misc,खतरे के लक्षण,Coded,,,,,,,Ans_option_yes_hindi,Ans_option_no_hindi,,,,,
PNC_C_Child Cleanliness & Care,,Misc,बच्चे की साफ – सफाई एवं देखभाल,Coded,,,,,,,Ans_option_yes_hindi,Ans_option_no_hindi,,,,,
PNC_C_Is need to sent to hospital,,Misc,क्या अस्पताल भेजने की जरुरत है?,Coded,,,,,,,Ans_option_yes_hindi,Ans_option_no_hindi,,,,,
GLOBAL_Hindi_Name_of_Doctor,,Misc,डॉक्टर का नाम,Coded,,,,,,,GLOBAL_Hindi_Name_of_Doctor_1,GLOBAL_Hindi_Name_of_Doctor_2,,,,,
GLOBAL_Name_of_nurse_or_SHW_hindi,,Misc,नर्स या / SHW का नाम,Coded,,,,,,,GLOBAL_Nurse/SHW_name1,GLOBAL_Nurse/SHW_name2,,,,,
GLOBAL_Follow up after,,Misc,दोबारा दिखानेकी तारीख,Date,,,,,,,,,,,,,
