name,description,class,shortname,datatype,units,High Normal,Low Normal,Allow Decimal,locale,synonym.1,answer.1,answer.2,answer.3,answer.4,answer.5,reference-term-source,reference-term-code,reference-term-relationship
PNCM_Is_there_need_to_change_morethan_5_pad,,Misc,क्या आपको एक दिन में ५ से अधिक पेड की जरुरत है ?,Coded,,,,,,,Ans_option_yes_hindi,Ans_option_no_hindi,,,,,,
PNCM_from_yesterday_you_have_taken_food,,Misc,कल से आज तक आपने क्या खाया और पिया है ?,Coded,,,,,,,Ans_option_yes_hindi,Ans_option_no_hindi,,,,,,
Pulse_motion,,Misc,नब्ज गति (प्रति मिनिट),Numeric,,100,70,,,,,,,,,,,
Blood_pressure,,Misc,??????? ????????? (mmHg),Numeric,,140,90,,,,,,,,,,,
Blood_pressure_Distolic,,Misc,??????? ??????????? (mmHg),Numeric,,90,,,,,,,,,,,,
breathingRate,,Misc,एक मिनट के लिए सांस की दर गिनें,Numeric,,20,12,,,,,,,,,,,
PNC_SPO2,,Misc,SpO2,Numeric,,99,95,,,,,,,,,,,
PNCM_anemic_white,,Misc,सफेद,N/A,,,,,,,,,,,,,,
PNCM_anemic_yellow,,Misc,पिला,N/A,,,,,,,,,,,,,,
PNCM_anemic_pink,,Misc,गुलाबी,N/A,,,,,,,,,,,,,,
PNCM_anemic,,Misc,"खून की कमी (आँख, हाथ, जीभ)",Coded,,,,,,,Ans_option_yes_hindi,Ans_option_no_hindi,,,,,,
PNCM_breasts_check_nipple_flap,,Misc,निप्पल चपटे या धँसें,Coded,,,,,,,,Ans_option_no_hindi,,,,,,
PNCM_breasts_check_nipple_cut,,Misc,निप्पल का कटाव,Coded,,,,,,,,Ans_option_no_hindi,,,,,,
PNCM_breasts_check_pain on_thrombing_or_pressing_on_breasts,,Misc,स्तनों पर ललाई या दबाने पर दर्द,Coded,,,,,,,,Ans_option_no_hindi,,,,,,
PNCM_breasts_check_excessive_amount_of_milk,,Misc,दूध का अत्यधिक जमाव,Coded,,,,,,,,Ans_option_no_hindi,,,,,,
PNCM_Hemoglobin,,Misc,??????????? (gm/dL),Numeric,,14,11,,,,,,,,,,,
Consultation_Hindi_Self_care,,Misc,स्वंय की देखभाल,Coded,,,,,,,Ans_option_yes_hindi,Ans_option_no_hindi,,,,,,
Consultation_Hindi_family_planning,,Misc,परिवार नियोजन,Coded,,,,,,,Ans_option_yes_hindi,Ans_option_no_hindi,,,,,,
PNC_C_Is need to sent to hospital,,Misc,क्या अस्पताल भेजने की जरुरत है?,Coded,,,,,,,Ans_option_yes_hindi,Ans_option_no_hindi,,,,,,
